entity_id,entity_type,reason,listed_date
48.162.83.98,ip,Suspicious login pattern,2025-11-15
acc_99437,account,Chargeback abuse,2025-09-26
dev_721374,device,Suspicious login pattern,2025-10-03
dev_588217,device,Known botnet activity,2025-12-20
acc_51240,account,Known botnet activity,2025-09-28
acc_341586,account,Previous fraud attempt,2025-09-22
27.221.125.213,ip,Chargeback abuse,2025-11-05
acc_27706,account,Suspicious login pattern,2025-09-03
37.218.54.47,ip,Chargeback abuse,2025-11-05
34.216.60.158,ip,Known botnet activity,2025-12-05
30.113.83.246,ip,Chargeback abuse,2025-09-03
46.70.103.75,ip,Previous fraud attempt,2025-12-03
dev_328462,device,Chargeback abuse,2025-12-03
acc_229215,account,Chargeback abuse,2025-12-22
55.161.6.108,ip,Known botnet activity,2025-11-11
175.29.222.114,ip,Chargeback abuse,2025-12-08
155.249.84.202,ip,Known botnet activity,2025-12-25
acc_529298,account,Previous fraud attempt,2025-10-10
6.138.236.71,ip,Chargeback abuse,2025-10-20
dev_491321,device,Previous fraud attempt,2025-09-13
dev_156611,device,Previous fraud attempt,2025-12-23
dev_463288,device,Previous fraud attempt,2025-10-11
97.100.163.150,ip,Suspicious login pattern,2025-08-30
dev_510098,device,Known botnet activity,2025-12-19
acc_488586,account,Known botnet activity,2025-12-02
41.163.54.87,ip,Suspicious login pattern,2025-09-28
dev_545360,device,Previous fraud attempt,2025-12-24
dev_557909,device,Previous fraud attempt,2025-12-01
acc_805810,account,Suspicious login pattern,2025-12-11
78.2.75.191,ip,Suspicious login pattern,2025-09-27
119.94.62.98,ip,Suspicious login pattern,2025-10-15
219.180.52.196,ip,Previous fraud attempt,2025-10-27
158.236.215.129,ip,Previous fraud attempt,2025-10-28
acc_196927,account,Previous fraud attempt,2025-10-21
8.202.244.53,ip,Known botnet activity,2025-09-08
acc_934483,account,Known botnet activity,2025-10-26
acc_749212,account,Previous fraud attempt,2025-12-07
dev_530393,device,Chargeback abuse,2025-11-19
dev_444615,device,Previous fraud attempt,2025-12-25
52.217.220.206,ip,Chargeback abuse,2025-10-21
dev_983418,device,Chargeback abuse,2025-11-30
dev_127573,device,Suspicious login pattern,2025-09-27
42.47.219.227,ip,Chargeback abuse,2025-11-14
dev_491996,device,Chargeback abuse,2025-08-31
67.243.48.2,ip,Suspicious login pattern,2025-09-12
dev_937954,device,Known botnet activity,2025-12-26
acc_856208,account,Suspicious login pattern,2025-09-12
dev_910818,device,Chargeback abuse,2025-10-08
dev_610363,device,Suspicious login pattern,2025-10-27
acc_262969,account,Suspicious login pattern,2025-12-14
acc_20661,account,Known botnet activity,2025-09-28
51.62.109.23,ip,Chargeback abuse,2025-09-21
113.172.45.176,ip,Suspicious login pattern,2025-10-05
acc_317650,account,Known botnet activity,2025-12-14
acc_400156,account,Known botnet activity,2025-11-27
acc_850070,account,Previous fraud attempt,2025-11-06
acc_701160,account,Known botnet activity,2025-10-27
acc_528211,account,Suspicious login pattern,2025-10-26
dev_15648,device,Suspicious login pattern,2025-12-15
25.126.215.61,ip,Known botnet activity,2025-11-29
acc_873049,account,Known botnet activity,2025-11-15
dev_79116,device,Known botnet activity,2025-09-19
44.74.102.204,ip,Previous fraud attempt,2025-11-03
29.203.29.244,ip,Chargeback abuse,2025-09-02
12.107.113.188,ip,Suspicious login pattern,2025-09-14
75.157.148.32,ip,Previous fraud attempt,2025-09-02
158.27.29.196,ip,Chargeback abuse,2025-10-15
dev_14191,device,Suspicious login pattern,2025-09-23
dev_241630,device,Known botnet activity,2025-10-22
acc_586191,account,Previous fraud attempt,2025-11-12
acc_401465,account,Chargeback abuse,2025-09-02
167.133.38.17,ip,Known botnet activity,2025-09-29
131.61.76.197,ip,Chargeback abuse,2025-12-09
dev_849645,device,Suspicious login pattern,2025-12-03
90.172.149.214,ip,Previous fraud attempt,2025-10-18
223.68.201.31,ip,Known botnet activity,2025-10-18
acc_563968,account,Suspicious login pattern,2025-09-20
dev_7863,device,Suspicious login pattern,2025-11-24
dev_73875,device,Previous fraud attempt,2025-10-31
acc_36555,account,Suspicious login pattern,2025-11-16
169.90.12.94,ip,Suspicious login pattern,2025-11-13
9.229.227.249,ip,Known botnet activity,2025-09-02
dev_595350,device,Known botnet activity,2025-09-03
121.25.99.35,ip,Previous fraud attempt,2025-09-08
acc_599367,account,Chargeback abuse,2025-10-10
acc_645241,account,Known botnet activity,2025-10-22
acc_889703,account,Known botnet activity,2025-09-13
dev_574111,device,Known botnet activity,2025-09-02
acc_219637,account,Known botnet activity,2025-12-01
dev_286255,device,Suspicious login pattern,2025-09-05
acc_521901,account,Suspicious login pattern,2025-10-29
acc_42016,account,Chargeback abuse,2025-11-23
acc_996855,account,Known botnet activity,2025-12-25
acc_597217,account,Known botnet activity,2025-12-08
acc_873660,account,Previous fraud attempt,2025-12-03
dev_915425,device,Chargeback abuse,2025-12-08
acc_657569,account,Chargeback abuse,2025-09-17
10.127.78.211,ip,Previous fraud attempt,2025-11-18
dev_580259,device,Suspicious login pattern,2025-11-03
acc_422513,account,Chargeback abuse,2025-10-08
acc_218944,account,Chargeback abuse,2025-12-12
42.99.84.162,ip,Known botnet activity,2025-12-20
54.209.21.64,ip,Known botnet activity,2025-11-04
acc_800642,account,Suspicious login pattern,2025-11-07
acc_103992,account,Previous fraud attempt,2025-09-19
acc_525083,account,Chargeback abuse,2025-10-18
dev_63698,device,Chargeback abuse,2025-12-15
dev_877488,device,Suspicious login pattern,2025-10-12
dev_730755,device,Known botnet activity,2025-10-19
183.143.131.78,ip,Chargeback abuse,2025-10-02
dev_687809,device,Suspicious login pattern,2025-12-17
dev_231037,device,Suspicious login pattern,2025-09-22
acc_57156,account,Known botnet activity,2025-12-04
acc_386801,account,Chargeback abuse,2025-11-07
dev_379294,device,Suspicious login pattern,2025-10-27
acc_748165,account,Chargeback abuse,2025-11-18
dev_391022,device,Chargeback abuse,2025-09-13
dev_250385,device,Chargeback abuse,2025-09-09
dev_464445,device,Known botnet activity,2025-11-05
dev_661894,device,Suspicious login pattern,2025-09-30
124.27.9.54,ip,Suspicious login pattern,2025-10-17
158.122.47.27,ip,Chargeback abuse,2025-09-22
37.39.210.50,ip,Chargeback abuse,2025-09-22
acc_553574,account,Chargeback abuse,2025-12-26
181.48.171.252,ip,Suspicious login pattern,2025-10-06
dev_487491,device,Known botnet activity,2025-12-19
acc_532480,account,Suspicious login pattern,2025-12-10
acc_930422,account,Known botnet activity,2025-09-30
51.228.244.28,ip,Previous fraud attempt,2025-11-04
dev_174173,device,Known botnet activity,2025-09-10
dev_23125,device,Previous fraud attempt,2025-12-24
26.157.91.158,ip,Suspicious login pattern,2025-11-04
73.226.26.135,ip,Known botnet activity,2025-10-25
29.22.184.64,ip,Known botnet activity,2025-11-11
101.29.124.58,ip,Known botnet activity,2025-08-31
dev_408932,device,Suspicious login pattern,2025-12-18
dev_413324,device,Previous fraud attempt,2025-09-30
acc_561466,account,Suspicious login pattern,2025-10-10
dev_318973,device,Chargeback abuse,2025-09-29
dev_935764,device,Suspicious login pattern,2025-12-25
129.137.2.23,ip,Previous fraud attempt,2025-09-08
acc_43895,account,Known botnet activity,2025-11-18
141.84.242.102,ip,Previous fraud attempt,2025-09-07
acc_985778,account,Suspicious login pattern,2025-11-11
acc_315164,account,Chargeback abuse,2025-11-15
dev_910441,device,Chargeback abuse,2025-09-22
dev_741150,device,Suspicious login pattern,2025-12-08
180.127.122.176,ip,Chargeback abuse,2025-12-23
93.172.91.245,ip,Chargeback abuse,2025-11-09
acc_211572,account,Previous fraud attempt,2025-10-02
dev_268923,device,Previous fraud attempt,2025-10-11
83.59.169.226,ip,Suspicious login pattern,2025-11-09
acc_28193,account,Chargeback abuse,2025-09-23
dev_339720,device,Chargeback abuse,2025-11-03
dev_907918,device,Suspicious login pattern,2025-09-05
dev_738478,device,Known botnet activity,2025-08-30
89.175.110.100,ip,Chargeback abuse,2025-12-16
dev_51976,device,Previous fraud attempt,2025-10-13
acc_39528,account,Previous fraud attempt,2025-12-17
dev_443745,device,Known botnet activity,2025-09-13
92.253.203.63,ip,Suspicious login pattern,2025-11-30
183.203.132.169,ip,Chargeback abuse,2025-09-04
acc_508748,account,Known botnet activity,2025-10-25
dev_375770,device,Known botnet activity,2025-09-18
acc_618535,account,Previous fraud attempt,2025-12-14
68.4.48.84,ip,Previous fraud attempt,2025-11-27
acc_103648,account,Chargeback abuse,2025-09-21
acc_802091,account,Chargeback abuse,2025-12-11
105.23.191.204,ip,Chargeback abuse,2025-09-20
157.33.0.84,ip,Suspicious login pattern,2025-09-11
acc_506194,account,Suspicious login pattern,2025-09-18
acc_128588,account,Known botnet activity,2025-10-13
dev_185147,device,Known botnet activity,2025-10-03
220.41.59.243,ip,Previous fraud attempt,2025-09-13
219.6.26.233,ip,Chargeback abuse,2025-09-29
dev_285166,device,Chargeback abuse,2025-12-18
acc_81676,account,Known botnet activity,2025-09-29
acc_51275,account,Suspicious login pattern,2025-11-05
acc_791555,account,Chargeback abuse,2025-11-09
dev_653305,device,Known botnet activity,2025-09-27
dev_569488,device,Suspicious login pattern,2025-10-21
71.131.57.229,ip,Known botnet activity,2025-09-30
52.154.208.159,ip,Suspicious login pattern,2025-10-27
acc_916970,account,Suspicious login pattern,2025-12-24
49.243.87.152,ip,Chargeback abuse,2025-11-13
dev_78082,device,Known botnet activity,2025-09-20
dev_230107,device,Chargeback abuse,2025-10-01
dev_308627,device,Suspicious login pattern,2025-09-26
134.119.223.218,ip,Chargeback abuse,2025-12-09
acc_950591,account,Previous fraud attempt,2025-12-06
acc_700066,account,Chargeback abuse,2025-10-03
dev_73391,device,Suspicious login pattern,2025-10-06
dev_590826,device,Previous fraud attempt,2025-11-20
acc_870606,account,Chargeback abuse,2025-11-09
dev_218880,device,Previous fraud attempt,2025-12-08
acc_402387,account,Known botnet activity,2025-10-15
dev_994977,device,Chargeback abuse,2025-11-19
acc_675044,account,Known botnet activity,2025-10-25
acc_112844,account,Chargeback abuse,2025-10-02
acc_454543,account,Previous fraud attempt,2025-10-22
dev_976267,device,Known botnet activity,2025-11-21
34.218.38.96,ip,Previous fraud attempt,2025-09-05
dev_981631,device,Known botnet activity,2025-10-08
dev_30186,device,Previous fraud attempt,2025-09-02
acc_48451,account,Known botnet activity,2025-10-22
acc_608911,account,Previous fraud attempt,2025-11-25
dev_532175,device,Suspicious login pattern,2025-10-27
88.134.228.241,ip,Suspicious login pattern,2025-09-23
acc_633217,account,Suspicious login pattern,2025-11-28
acc_15223,account,Chargeback abuse,2025-09-04
acc_777128,account,Chargeback abuse,2025-08-29
201.111.111.125,ip,Chargeback abuse,2025-11-16
acc_434409,account,Suspicious login pattern,2025-11-25
acc_927715,account,Chargeback abuse,2025-12-12
acc_100120,account,Known botnet activity,2025-11-23
dev_642844,device,Suspicious login pattern,2025-10-22
dev_486397,device,Previous fraud attempt,2025-09-12
174.218.72.9,ip,Previous fraud attempt,2025-10-13
acc_798420,account,Suspicious login pattern,2025-11-18
dev_43047,device,Previous fraud attempt,2025-11-04
45.42.128.213,ip,Previous fraud attempt,2025-09-05
acc_398563,account,Chargeback abuse,2025-10-31
dev_882874,device,Chargeback abuse,2025-09-25
dev_44153,device,Suspicious login pattern,2025-11-10
31.54.77.229,ip,Known botnet activity,2025-09-29
dev_305010,device,Suspicious login pattern,2025-10-10
51.91.208.94,ip,Previous fraud attempt,2025-12-06
dev_702277,device,Previous fraud attempt,2025-09-03
acc_57895,account,Chargeback abuse,2025-11-02
acc_312068,account,Known botnet activity,2025-12-18
183.165.244.167,ip,Suspicious login pattern,2025-09-26
acc_73201,account,Previous fraud attempt,2025-11-07
dev_280924,device,Previous fraud attempt,2025-10-01
16.162.10.179,ip,Suspicious login pattern,2025-11-09
dev_624900,device,Chargeback abuse,2025-09-12
dev_578772,device,Previous fraud attempt,2025-12-03
acc_94124,account,Previous fraud attempt,2025-10-10
173.153.11.217,ip,Previous fraud attempt,2025-08-29
acc_912279,account,Known botnet activity,2025-10-22
dev_317847,device,Previous fraud attempt,2025-08-29
acc_713114,account,Known botnet activity,2025-10-05
acc_770463,account,Known botnet activity,2025-11-05
dev_671879,device,Chargeback abuse,2025-11-17
8.90.50.19,ip,Chargeback abuse,2025-10-27
dev_704800,device,Suspicious login pattern,2025-10-19
222.217.118.217,ip,Previous fraud attempt,2025-10-07
dev_830417,device,Suspicious login pattern,2025-11-28
52.173.231.170,ip,Previous fraud attempt,2025-11-16
182.52.250.37,ip,Known botnet activity,2025-09-09
acc_147398,account,Previous fraud attempt,2025-12-13
dev_295833,device,Known botnet activity,2025-09-01
80.123.161.52,ip,Previous fraud attempt,2025-09-15
acc_490938,account,Previous fraud attempt,2025-11-27
acc_724476,account,Known botnet activity,2025-11-07
116.15.59.54,ip,Suspicious login pattern,2025-09-18
dev_664421,device,Chargeback abuse,2025-12-18
acc_936771,account,Chargeback abuse,2025-10-16
acc_446484,account,Previous fraud attempt,2025-12-20
acc_174761,account,Chargeback abuse,2025-11-09
dev_262939,device,Previous fraud attempt,2025-11-30
59.186.81.17,ip,Known botnet activity,2025-11-10
dev_734283,device,Previous fraud attempt,2025-09-26
acc_723106,account,Known botnet activity,2025-12-15
dev_842958,device,Chargeback abuse,2025-09-02
acc_427415,account,Known botnet activity,2025-11-06
acc_261111,account,Previous fraud attempt,2025-12-17
dev_94888,device,Chargeback abuse,2025-12-01
dev_73624,device,Suspicious login pattern,2025-12-11
dev_204527,device,Known botnet activity,2025-11-28
132.243.32.181,ip,Known botnet activity,2025-12-08
dev_906421,device,Previous fraud attempt,2025-11-17
172.124.251.190,ip,Previous fraud attempt,2025-09-10
dev_874683,device,Chargeback abuse,2025-12-22
56.223.223.65,ip,Known botnet activity,2025-09-10
24.133.101.215,ip,Chargeback abuse,2025-10-08
189.75.34.55,ip,Known botnet activity,2025-11-22
dev_936817,device,Previous fraud attempt,2025-11-02
acc_619790,account,Known botnet activity,2025-11-26
151.242.188.128,ip,Suspicious login pattern,2025-10-14
acc_298608,account,Previous fraud attempt,2025-10-25
dev_673480,device,Known botnet activity,2025-08-30
dev_476861,device,Previous fraud attempt,2025-10-10
78.7.166.39,ip,Suspicious login pattern,2025-10-08
acc_762288,account,Chargeback abuse,2025-09-22
dev_382695,device,Suspicious login pattern,2025-10-07
13.107.234.173,ip,Chargeback abuse,2025-11-24
185.79.72.5,ip,Chargeback abuse,2025-09-19
1.70.170.38,ip,Previous fraud attempt,2025-10-11
dev_51283,device,Previous fraud attempt,2025-11-28
dev_892470,device,Known botnet activity,2025-11-22
194.165.112.84,ip,Chargeback abuse,2025-10-17
dev_470196,device,Known botnet activity,2025-09-28
dev_778050,device,Known botnet activity,2025-10-22
acc_499481,account,Known botnet activity,2025-10-06
dev_64936,device,Chargeback abuse,2025-11-03
dev_38641,device,Known botnet activity,2025-12-23
82.91.149.95,ip,Known botnet activity,2025-12-15
199.183.9.104,ip,Previous fraud attempt,2025-10-27
acc_848418,account,Previous fraud attempt,2025-10-19
acc_536374,account,Chargeback abuse,2025-10-20
24.73.118.151,ip,Previous fraud attempt,2025-11-03
dev_115949,device,Chargeback abuse,2025-12-07
177.149.223.232,ip,Known botnet activity,2025-10-29
dev_274240,device,Chargeback abuse,2025-09-03
81.138.176.165,ip,Chargeback abuse,2025-12-21
151.38.214.233,ip,Previous fraud attempt,2025-10-04
dev_583762,device,Previous fraud attempt,2025-12-25
96.138.180.188,ip,Suspicious login pattern,2025-09-01
215.151.220.71,ip,Previous fraud attempt,2025-09-14
acc_876826,account,Previous fraud attempt,2025-11-17
acc_485135,account,Chargeback abuse,2025-11-04
acc_772769,account,Suspicious login pattern,2025-11-08
202.193.145.80,ip,Chargeback abuse,2025-09-16
acc_666001,account,Known botnet activity,2025-10-31
dev_851743,device,Suspicious login pattern,2025-12-03
67.148.215.53,ip,Previous fraud attempt,2025-09-06
149.179.57.152,ip,Known botnet activity,2025-10-05
dev_493388,device,Suspicious login pattern,2025-10-01
acc_195327,account,Chargeback abuse,2025-10-27
32.21.218.102,ip,Known botnet activity,2025-12-26
dev_658777,device,Known botnet activity,2025-09-15
acc_930710,account,Chargeback abuse,2025-11-07
dev_430926,device,Previous fraud attempt,2025-10-19
acc_888595,account,Chargeback abuse,2025-11-15
dev_139166,device,Suspicious login pattern,2025-10-24
dev_952096,device,Suspicious login pattern,2025-09-24
acc_135215,account,Known botnet activity,2025-09-19
acc_457971,account,Known botnet activity,2025-10-16
acc_443000,account,Previous fraud attempt,2025-12-06
acc_89165,account,Chargeback abuse,2025-12-18
acc_466448,account,Chargeback abuse,2025-11-12
dev_549227,device,Previous fraud attempt,2025-10-24
acc_8641,account,Previous fraud attempt,2025-10-24
dev_373230,device,Chargeback abuse,2025-11-05
acc_737713,account,Suspicious login pattern,2025-11-17
16.76.255.17,ip,Chargeback abuse,2025-12-11
168.7.101.115,ip,Previous fraud attempt,2025-11-24
acc_446075,account,Chargeback abuse,2025-11-12
dev_366394,device,Known botnet activity,2025-10-15
dev_330054,device,Previous fraud attempt,2025-09-29
acc_218820,account,Chargeback abuse,2025-11-18
acc_877560,account,Known botnet activity,2025-09-12
75.145.97.53,ip,Previous fraud attempt,2025-12-01
dev_297506,device,Known botnet activity,2025-10-05
202.169.250.65,ip,Chargeback abuse,2025-11-23
49.113.219.197,ip,Previous fraud attempt,2025-09-23
acc_457962,account,Suspicious login pattern,2025-09-30
dev_224023,device,Suspicious login pattern,2025-11-02
acc_861741,account,Previous fraud attempt,2025-12-26
dev_512285,device,Previous fraud attempt,2025-11-09
acc_698819,account,Chargeback abuse,2025-09-15
acc_301195,account,Known botnet activity,2025-11-10
acc_540901,account,Suspicious login pattern,2025-12-22
210.114.188.130,ip,Suspicious login pattern,2025-12-01
dev_856589,device,Chargeback abuse,2025-10-05
dev_905986,device,Previous fraud attempt,2025-10-13
acc_231728,account,Suspicious login pattern,2025-12-24
dev_14906,device,Known botnet activity,2025-11-03
2.120.148.229,ip,Known botnet activity,2025-10-21
dev_212432,device,Known botnet activity,2025-12-20
dev_156576,device,Suspicious login pattern,2025-12-01
196.43.255.195,ip,Previous fraud attempt,2025-12-05
dev_483501,device,Known botnet activity,2025-10-25
108.192.201.58,ip,Chargeback abuse,2025-11-01
acc_387368,account,Known botnet activity,2025-12-23
87.203.97.232,ip,Known botnet activity,2025-11-18
acc_820064,account,Previous fraud attempt,2025-10-07
145.132.213.4,ip,Previous fraud attempt,2025-12-13
dev_444262,device,Chargeback abuse,2025-09-20
16.183.43.119,ip,Previous fraud attempt,2025-08-31
dev_399342,device,Chargeback abuse,2025-09-16
220.52.129.118,ip,Chargeback abuse,2025-09-05
159.91.89.228,ip,Known botnet activity,2025-10-19
152.37.91.222,ip,Suspicious login pattern,2025-11-24
68.12.217.179,ip,Chargeback abuse,2025-12-01
acc_679882,account,Known botnet activity,2025-10-02
20.146.146.249,ip,Previous fraud attempt,2025-12-07
221.189.159.108,ip,Suspicious login pattern,2025-10-08
72.29.174.16,ip,Chargeback abuse,2025-08-30
acc_377828,account,Chargeback abuse,2025-12-06
acc_986091,account,Chargeback abuse,2025-10-30
157.1.119.44,ip,Previous fraud attempt,2025-11-03
dev_294002,device,Suspicious login pattern,2025-09-26
acc_871376,account,Known botnet activity,2025-10-12
139.138.61.172,ip,Suspicious login pattern,2025-09-03
dev_650918,device,Known botnet activity,2025-09-29
dev_614663,device,Suspicious login pattern,2025-10-01
87.101.9.130,ip,Chargeback abuse,2025-10-07
207.113.28.17,ip,Previous fraud attempt,2025-09-30
acc_549879,account,Known botnet activity,2025-11-11
dev_31610,device,Previous fraud attempt,2025-10-17
acc_317420,account,Known botnet activity,2025-11-14
14.154.111.186,ip,Suspicious login pattern,2025-11-08
acc_681361,account,Suspicious login pattern,2025-11-09
acc_872581,account,Previous fraud attempt,2025-11-22
acc_516299,account,Known botnet activity,2025-12-15
16.30.24.224,ip,Known botnet activity,2025-10-06
97.69.51.89,ip,Previous fraud attempt,2025-12-12
acc_753831,account,Previous fraud attempt,2025-12-19
acc_437225,account,Previous fraud attempt,2025-12-19
acc_266351,account,Chargeback abuse,2025-09-22
acc_659478,account,Known botnet activity,2025-08-29
acc_209280,account,Known botnet activity,2025-12-13
acc_276865,account,Chargeback abuse,2025-12-12
acc_42995,account,Known botnet activity,2025-09-08
acc_391665,account,Previous fraud attempt,2025-09-14
dev_197685,device,Chargeback abuse,2025-11-08
dev_289839,device,Chargeback abuse,2025-11-17
dev_643669,device,Known botnet activity,2025-09-09
acc_68118,account,Known botnet activity,2025-12-23
132.191.182.246,ip,Chargeback abuse,2025-12-18
53.0.214.62,ip,Known botnet activity,2025-10-16
acc_336161,account,Known botnet activity,2025-12-11
acc_562255,account,Previous fraud attempt,2025-12-06
acc_554082,account,Chargeback abuse,2025-10-21
dev_916472,device,Known botnet activity,2025-11-15
acc_690965,account,Known botnet activity,2025-10-05
acc_762187,account,Previous fraud attempt,2025-10-06
dev_870186,device,Known botnet activity,2025-11-30
acc_580747,account,Known botnet activity,2025-09-21
27.71.152.240,ip,Previous fraud attempt,2025-09-03
52.40.187.197,ip,Suspicious login pattern,2025-09-09
acc_724552,account,Known botnet activity,2025-11-29
acc_591299,account,Previous fraud attempt,2025-09-14
acc_960757,account,Known botnet activity,2025-11-30
acc_345513,account,Chargeback abuse,2025-12-11
dev_250442,device,Chargeback abuse,2025-10-06
172.92.54.190,ip,Previous fraud attempt,2025-11-29
acc_771541,account,Previous fraud attempt,2025-11-22
acc_78122,account,Previous fraud attempt,2025-10-18
acc_221964,account,Suspicious login pattern,2025-09-24
dev_250463,device,Previous fraud attempt,2025-12-06
dev_800716,device,Known botnet activity,2025-11-28
acc_495032,account,Chargeback abuse,2025-12-01
44.61.70.41,ip,Previous fraud attempt,2025-09-30
acc_620239,account,Chargeback abuse,2025-10-01
152.69.63.136,ip,Previous fraud attempt,2025-12-16
179.251.96.175,ip,Chargeback abuse,2025-10-20
acc_407163,account,Previous fraud attempt,2025-11-19
acc_572393,account,Suspicious login pattern,2025-09-07
128.168.69.62,ip,Chargeback abuse,2025-12-01
47.42.216.26,ip,Previous fraud attempt,2025-09-10
acc_189975,account,Suspicious login pattern,2025-09-13
dev_349711,device,Chargeback abuse,2025-09-01
153.81.198.241,ip,Known botnet activity,2025-10-26
109.242.240.121,ip,Suspicious login pattern,2025-10-19
80.4.87.127,ip,Suspicious login pattern,2025-11-16
7.20.218.248,ip,Known botnet activity,2025-12-11
dev_625063,device,Previous fraud attempt,2025-09-24
36.233.181.248,ip,Chargeback abuse,2025-11-22
214.144.185.178,ip,Suspicious login pattern,2025-11-13
acc_337712,account,Known botnet activity,2025-11-14
dev_178569,device,Suspicious login pattern,2025-10-01
acc_549827,account,Previous fraud attempt,2025-10-17
acc_84635,account,Suspicious login pattern,2025-10-25
dev_629252,device,Known botnet activity,2025-11-08
220.58.108.75,ip,Chargeback abuse,2025-09-08
161.207.216.243,ip,Previous fraud attempt,2025-11-24
acc_544212,account,Previous fraud attempt,2025-10-09
dev_952182,device,Previous fraud attempt,2025-09-14
77.126.146.168,ip,Previous fraud attempt,2025-12-10
7.71.203.72,ip,Chargeback abuse,2025-11-01
acc_656728,account,Chargeback abuse,2025-09-19
dev_553130,device,Previous fraud attempt,2025-09-01
acc_810893,account,Suspicious login pattern,2025-12-15
acc_753442,account,Chargeback abuse,2025-09-05
dev_474364,device,Suspicious login pattern,2025-10-06
55.117.129.231,ip,Known botnet activity,2025-10-19
dev_747809,device,Previous fraud attempt,2025-09-08
acc_455696,account,Previous fraud attempt,2025-09-21
dev_894143,device,Chargeback abuse,2025-12-24
dev_120784,device,Suspicious login pattern,2025-10-31
acc_96522,account,Chargeback abuse,2025-10-22
dev_2778,device,Previous fraud attempt,2025-09-24
dev_123497,device,Previous fraud attempt,2025-10-09
125.194.152.108,ip,Known botnet activity,2025-11-19
acc_319964,account,Previous fraud attempt,2025-11-05
129.214.26.75,ip,Suspicious login pattern,2025-09-28
acc_18454,account,Chargeback abuse,2025-11-15
dev_603453,device,Chargeback abuse,2025-12-20
acc_149248,account,Known botnet activity,2025-11-03
acc_560260,account,Chargeback abuse,2025-11-28
acc_12868,account,Chargeback abuse,2025-08-29
acc_137966,account,Previous fraud attempt,2025-12-13
216.88.68.106,ip,Suspicious login pattern,2025-09-12
43.253.218.1,ip,Known botnet activity,2025-10-29
acc_232714,account,Suspicious login pattern,2025-10-14
acc_938970,account,Suspicious login pattern,2025-11-27
dev_144969,device,Previous fraud attempt,2025-10-27
dev_695616,device,Previous fraud attempt,2025-09-06
acc_202073,account,Suspicious login pattern,2025-11-29
acc_860811,account,Suspicious login pattern,2025-09-14
dev_634907,device,Suspicious login pattern,2025-09-20
dev_49812,device,Suspicious login pattern,2025-11-07
dev_398034,device,Previous fraud attempt,2025-09-17
59.130.233.79,ip,Chargeback abuse,2025-12-23
9.34.75.232,ip,Chargeback abuse,2025-10-31
dev_47462,device,Chargeback abuse,2025-11-02
dev_679835,device,Previous fraud attempt,2025-11-03
acc_142813,account,Previous fraud attempt,2025-10-01
dev_95857,device,Chargeback abuse,2025-11-28
acc_265682,account,Previous fraud attempt,2025-12-05
dev_11366,device,Known botnet activity,2025-10-26
dev_567762,device,Previous fraud attempt,2025-11-28
acc_716724,account,Known botnet activity,2025-10-27
dev_159174,device,Previous fraud attempt,2025-12-12
22.206.223.71,ip,Known botnet activity,2025-12-15
acc_666244,account,Suspicious login pattern,2025-12-07
dev_621206,device,Previous fraud attempt,2025-11-01
202.34.199.225,ip,Previous fraud attempt,2025-12-04
65.68.105.22,ip,Suspicious login pattern,2025-12-18
dev_658849,device,Known botnet activity,2025-10-13
acc_911104,account,Chargeback abuse,2025-10-18
dev_44545,device,Previous fraud attempt,2025-10-19
acc_758830,account,Chargeback abuse,2025-12-02
19.28.110.240,ip,Previous fraud attempt,2025-11-18
186.202.125.173,ip,Known botnet activity,2025-11-21
acc_688780,account,Suspicious login pattern,2025-09-24
dev_151225,device,Suspicious login pattern,2025-12-06
dev_313644,device,Known botnet activity,2025-10-30
acc_856487,account,Chargeback abuse,2025-12-01
dev_481696,device,Previous fraud attempt,2025-12-22
dev_513198,device,Chargeback abuse,2025-11-27
86.88.69.65,ip,Chargeback abuse,2025-09-27
dev_25277,device,Known botnet activity,2025-09-14
acc_397917,account,Known botnet activity,2025-09-07
122.23.100.135,ip,Previous fraud attempt,2025-10-10
dev_157561,device,Suspicious login pattern,2025-09-13
10.235.248.35,ip,Suspicious login pattern,2025-12-12
acc_1470,account,Known botnet activity,2025-11-27
acc_448727,account,Chargeback abuse,2025-09-10
179.31.100.227,ip,Previous fraud attempt,2025-10-03
150.72.191.137,ip,Suspicious login pattern,2025-12-01
183.83.107.16,ip,Known botnet activity,2025-11-07
138.110.26.252,ip,Previous fraud attempt,2025-12-07
189.221.180.183,ip,Previous fraud attempt,2025-11-05
acc_9797,account,Known botnet activity,2025-09-25
10.170.82.24,ip,Suspicious login pattern,2025-11-12
dev_353815,device,Chargeback abuse,2025-11-17
acc_768682,account,Previous fraud attempt,2025-09-03
acc_763384,account,Known botnet activity,2025-10-24
dev_487567,device,Suspicious login pattern,2025-11-26
218.2.91.47,ip,Chargeback abuse,2025-09-05
dev_130123,device,Previous fraud attempt,2025-10-02
9.71.37.168,ip,Known botnet activity,2025-10-27
103.71.213.108,ip,Chargeback abuse,2025-11-13
125.253.52.94,ip,Suspicious login pattern,2025-09-22
136.152.50.152,ip,Chargeback abuse,2025-11-03
acc_685486,account,Known botnet activity,2025-11-30
31.104.107.0,ip,Chargeback abuse,2025-09-20
107.72.47.8,ip,Known botnet activity,2025-11-26
dev_311162,device,Known botnet activity,2025-10-05
acc_590950,account,Chargeback abuse,2025-11-04
acc_932815,account,Suspicious login pattern,2025-10-06
acc_128115,account,Suspicious login pattern,2025-09-02
